season,league_code,source_file,rows,columns,schema_signature,avg_close_coverage,b365_close_coverage
2021_22,D1,D5.csv,306,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2021_22,E0,E4.csv,380,106,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|Referee|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2021_22,F1,F5.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2021_22,I1,I5.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2021_22,SP1,SP5.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2022_23,D1,D4.csv,306,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2022_23,E0,E3.csv,380,106,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|Referee|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2022_23,F1,F4.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2022_23,I1,I4.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2022_23,SP1,SP4.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2023_24,D1,D3.csv,306,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
