season,league_code,source_file,relative_path,filename_matches_div,canonical_filename,requires_normalization
2019_20,D1,D7.csv,Footbal_Data — kopia/raw/2019_20/D7.csv,False,2019_20_D1.csv,True
2019_20,E0,E6.csv,Footbal_Data — kopia/raw/2019_20/E6.csv,False,2019_20_E0.csv,True
2019_20,F1,F7.csv,Footbal_Data — kopia/raw/2019_20/F7.csv,False,2019_20_F1.csv,True
2019_20,I1,I7.csv,Footbal_Data — kopia/raw/2019_20/I7.csv,False,2019_20_I1.csv,True
2019_20,SP1,SP7.csv,Footbal_Data — kopia/raw/2019_20/SP7.csv,False,2019_20_SP1.csv,True
2020_21,D1,D6.csv,Footbal_Data — kopia/raw/2020_21/D6.csv,False,2020_21_D1.csv,True
2020_21,E0,E5.csv,Footbal_Data — kopia/raw/2020_21/E5.csv,False,2020_21_E0.csv,True
2020_21,F1,F6.csv,Footbal_Data — kopia/raw/2020_21/F6.csv,False,2020_21_F1.csv,True
2020_21,I1,I6.csv,Footbal_Data — kopia/raw/2020_21/I6.csv,False,2020_21_I1.csv,True
2020_21,SP1,SP6.csv,Footbal_Data — kopia/raw/2020_21/SP6.csv,False,2020_21_SP1.csv,True
2021_22,D1,D5.csv,Footbal_Data — kopia/raw/2021_22/D5.csv,False,2021_22_D1.csv,True
2021_22,E0,E4.csv,Footbal_Data — kopia/raw/2021_22/E4.csv,False,2021_22_E0.csv,True
2021_22,F1,F5.csv,Footbal_Data — kopia/raw/2021_22/F5.csv,False,2021_22_F1.csv,True
2021_22,I1,I5.csv,Footbal_Data — kopia/raw/2021_22/I5.csv,False,2021_22_I1.csv,True
2021_22,SP1,SP5.csv,Footbal_Data — kopia/raw/2021_22/SP5.csv,False,2021_22_SP1.csv,True
2022_23,D1,D4.csv,Footbal_Data — kopia/raw/2022_23/D4.csv,False,2022_23_D1.csv,True
2022_23,E0,E3.csv,Footbal_Data — kopia/raw/2022_23/E3.csv,False,2022_23_E0.csv,True
2022_23,F1,F4.csv,Footbal_Data — kopia/raw/2022_23/F4.csv,False,2022_23_F1.csv,True
2022_23,I1,I4.csv,Footbal_Data — kopia/raw/2022_23/I4.csv,False,2022_23_I1.csv,True
2022_23,SP1,SP4.csv,Footbal_Data — kopia/raw/2022_23/SP4.csv,False,2022_23_SP1.csv,True
2023_24,D1,D3.csv,Footbal_Data — kopia/raw/2023_24/D3.csv,False,2023_24_D1.csv,True
2023_24,E0,E2.csv,Footbal_Data — kopia/raw/2023_24/E2.csv,False,2023_24_E0.csv,True
2023_24,F1,F3.csv,Footbal_Data — kopia/raw/2023_24/F3.csv,False,2023_24_F1.csv,True
2023_24,I1,I3.csv,Footbal_Data — kopia/raw/2023_24/I3.csv,False,2023_24_I1.csv,True
2023_24,SP1,SP3.csv,Footbal_Data — kopia/raw/2023_24/SP3.csv,False,2023_24_SP1.csv,True
2024_25,D1,D2.csv,Footbal_Data — kopia/raw/2024_25/D2.csv,False,2024_25_D1.csv,True
2024_25,E0,E1.csv,Footbal_Data — kopia/raw/2024_25/E1.csv,False,2024_25_E0.csv,True
2024_25,F1,F2.csv,Footbal_Data — kopia/raw/2024_25/F2.csv,False,2024_25_F1.csv,True
2024_25,I1,I2.csv,Footbal_Data — kopia/raw/2024_25/I2.csv,False,2024_25_I1.csv,True
2024_25,SP1,SP2.csv,Footbal_Data — kopia/raw/2024_25/SP2.csv,False,2024_25_SP1.csv,True
2025_26,D1,D1.csv,Footbal_Data — kopia/raw/2025_26/D1.csv,True,2025_26_D1.csv,False
2025_26,E0,E0.csv,Footbal_Data — kopia/raw/2025_26/E0.csv,True,2025_26_E0.csv,False
2025_26,F1,F1.csv,Footbal_Data — kopia/raw/2025_26/F1.csv,True,2025_26_F1.csv,False
2025_26,I1,I1.csv,Footbal_Data — kopia/raw/2025_26/I1.csv,True,2025_26_I1.csv,False
2025_26,SP1,SP1.csv,Footbal_Data — kopia/raw/2025_26/SP1.csv,True,2025_26_SP1.csv,False
