selection_type,probability_bin,n,mean_predicted_probability,observed_outcome_rate,calibration_gap,sparse,predicted_ci_low,predicted_ci_high,observed_ci_low,observed_ci_high,gap_ci_low,gap_ci_high
H,"[0.00, 0.10)",171,0.08151083251736926,0.06432748538011696,-0.01718334713725231,True,0.07930841860159267,0.083678343385265,0.030115972873530048,0.10152714445495997,-0.051839943536351886,0.02007760526398989
H,"[0.10, 0.20)",1123,0.1572326544576542,0.14069456812110417,-0.016538086336550017,False,0.15555552496603056,0.15887571107273338,0.12036159918512859,0.16192189976121948,-0.03687234840781453,0.004612238044057661
H,"[0.20, 0.30)",1856,0.25378459958828165,0.22683189655172414,-0.0269527030365575,False,0.2524551560710684,0.2550507835044422,0.2083978564034068,0.24622569941335473,-0.04556607605822956,-0.007714822873964816
H,"[0.30, 0.40)",2475,0.3513976473410851,0.336969696969697,-0.01442795037138811,False,0.3502312194181694,0.35261153483032176,0.31836218101060426,0.3569723358769472,-0.03314138912044694,0.00549241067499202
H,"[0.40, 0.50)",2478,0.4483158422873638,0.4430992736077482,-0.0052165686796156185,False,0.44723196368110874,0.44948129522152414,0.4227556597782637,0.46334486681781856,-0.02551670076294667,0.015164890169017804
H,"[0.50, 0.60)",1861,0.5480721615088274,0.5583019881783987,0.010229826669571285,False,0.5467881650865096,0.5493151256005676,0.5352865947280059,0.5815163714897884,-0.012764652116415132,0.03350059851090608
H,"[0.60, 0.70)",1325,0.6482624639161644,0.6822641509433962,0.03400168702723183,False,0.6467184632444986,0.649773369834344,0.6570775349213656,0.7078192833083832,0.008933022575962601,0.0593084258168494
H,"[0.70, 0.80)",846,0.7443834367035117,0.7446808510638298,0.000297414360318049,False,0.7424622985643525,0.7463535219397696,0.7170444073613663,0.7749422215480163,-0.027569642161214044,0.030064352056576694
H,"[0.80, 0.90)",317,0.8389319545491002,0.8391167192429022,0.00018476469380201976,False,0.8360984673010561,0.8417267110427441,0.7971472762113332,0.8787878787878788,-0.041211628549611724,0.039518776766369314
H,"[0.90, 1.00]",6,0.913213414626767,1.0,0.08678658537323303,True,0.9052380773314583,0.9219002036102343,1.0,1.0,0.07809979638976572,0.09476192266854166
D,"[0.00, 0.10)",114,0.08707423524110548,0.07017543859649122,-0.01689879664461426,True,0.08499616492437385,0.08905607759756362,0.02677978824273072,0.12074258923169966,-0.06022725914065768,0.03257916627061168
D,"[0.10, 0.20)",1916,0.1642286334962022,0.15553235908141963,-0.008696274414782573,False,0.1630594704708706,0.16538370509177283,0.13982936941862584,0.17110959112135105,-0.02431555917854711,0.0070844809908597916
D,"[0.20, 0.30)",8901,0.259613084963295,0.2641276261094259,0.004514541146130924,False,0.2591131999898962,0.2601274624489136,0.25515912684207726,0.27371236473242777,-0.004253067765119916,0.014131504285424758
D,"[0.30, 0.40)",1525,0.3142082910014277,0.32,0.005791708998572287,False,0.3136356737928558,0.31478027463293773,0.2973158865942715,0.34496687734845033,-0.016672553960415247,0.030656065335934308
D,"[0.40, 0.50)",1,0.43261948722484495,1.0,0.567380512775155,True,0.43261948722484495,0.43261948722484495,1.0,1.0,0.567380512775155,0.567380512775155
D,"[0.50, 0.60)",1,0.5580357142857143,0.0,-0.5580357142857143,True,0.5580357142857143,0.5580357142857143,0.0,0.0,-0.5580357142857143,-0.5580357142857143
D,"[0.60, 0.70)",0,,,,True,,,,,,
D,"[0.70, 0.80)",0,,,,True,,,,,,
D,"[0.80, 0.90)",0,,,,True,,,,,,
D,"[0.90, 1.00]",0,,,,True,,,,,,
A,"[0.00, 0.10)",884,0.07369442863564081,0.0757918552036199,0.0020974265679790938,False,0.07238214578953135,0.07494169380318723,0.05835099178048455,0.09255340449681804,-0.01497804416679677,0.018828042341729197
A,"[0.10, 0.20)",2590,0.15332686531962725,0.13822393822393822,-0.015102927095689028,False,0.15220570710851436,0.15445772161591725,0.12509709516176098,0.15085628544919505,-0.028223097936567763,-0.0025055621458509644
A,"[0.20, 0.30)",3093,0.25038718019100353,0.24086647268024572,-0.009520707510757814,False,0.24942698417503778,0.2514080638771572,0.22635791548618733,0.256158850532904,-0.024086576804976317,0.005688335654201128
A,"[0.30, 0.40)",2485,0.3461075803184948,0.34808853118712274,0.0019809508686279287,False,0.34495983139960945,0.3471837934494143,0.3302621220780505,0.36678937953111757,-0.015742378647271325,0.020781070247961133
A,"[0.40, 0.50)",1535,0.44601354880545413,0.4703583061889251,0.024344757383470972,False,0.4446117702555767,0.4474466498394466,0.4453169843020703,0.49435343010859323,-0.0008825099314344079,0.04843269366952845
A,"[0.50, 0.60)",1016,0.5477676836935536,0.5669291338582677,0.019161450164714156,False,0.54599301976036,0.5493577030025671,0.5356419092246126,0.598570685087539,-0.01227321534915444,0.05038189043126559
A,"[0.60, 0.70)",563,0.6446137156291702,0.6749555950266429,0.030341879397472682,False,0.6421644606279504,0.6469566965879648,0.6357316484501603,0.7137621083305313,-0.009251128231631408,0.06956660591632831
A,"[0.70, 0.80)",252,0.7395524772676995,0.7976190476190477,0.05806657035134821,False,0.7362768879439257,0.7428168364960825,0.7478489771359808,0.8492090671885192,0.008372770519601034,0.10927804265892735
A,"[0.80, 0.90)",40,0.8238106533938113,0.775,-0.0488106533938113,True,0.8181780947801017,0.8300646507931937,0.6363636363636364,0.9,-0.1893410751006079,0.07571704557938233
A,"[0.90, 1.00]",0,,,,True,,,,,,
