odds_band,n_bets,win_rate,proportional_probability,proportional_gap,proportional_gap_ci_low,proportional_gap_ci_high,sparse,power_probability,power_gap,power_gap_ci_low,power_gap_ci_high,probability_difference
"[1.00, 1.50)",2507,0.7451136816912645,0.7242615144150857,0.02085216727617878,0.004767729532986128,0.037627176295289444,False,0.7496853706978354,-0.0045716890065709,-0.021234030583413426,0.01190850380123617,0.02542385628274968
"[1.50, 2.00)",4558,0.564282580078982,0.5522568688023086,0.012025711276673401,-0.002623366190956794,0.026335754468714473,False,0.5651292640835467,-0.0008466840045646684,-0.014881450946728353,0.013059921104422686,0.01287239528123807
"[2.00, 3.00)",7370,0.39294436906377206,0.3941133290304998,-0.0011689599667277228,-0.010668770424776009,0.008653252798067971,False,0.3973678621157707,-0.004423493051998628,-0.013731079819403275,0.005235495641013382,0.0032545330852709053
"[3.00, 5.00)",16603,0.2598325603806541,0.26078362512028674,-0.0009510647396326344,-0.006903425037865904,0.004975029865613336,False,0.2563603109962756,0.003472249384378512,-0.002164030702456661,0.00925241146560876,-0.004423314124011146
"[5.00, 10.00)",5339,0.13822813260910283,0.1529119358380564,-0.014683803228953574,-0.023845532818685223,-0.006260272497479814,False,0.14183033867402944,-0.0036022060649266163,-0.012735312888968627,0.005221256255895442,-0.011081597164026957
"[10.00, inf)",997,0.07021063189568706,0.0745105186501197,-0.004299886754432644,-0.020108951755235516,0.012311891479460779,False,0.060678058698782775,0.009532573196904287,-0.005367250552158228,0.02568767237464573,-0.013832459951336931
