season,n_matches,mean_brier_score
2019_20,1725,0.5782921947757703
2020_21,1826,0.5797470748414411
2021_22,1826,0.5801013772453404
2022_23,1826,0.5805904584907909
2023_24,1752,0.5661292568948396
2024_25,1752,0.5707092773998158
2025_26,1751,0.5822940233632431
