odds_band,n_bets,n_matches,wins,total_profit,mean_odds,median_odds,mean_raw_implied_probability,mean_predicted_probability,roi,win_rate,calibration_gap,sparse,roi_ci_low,roi_ci_high,win_rate_ci_low,win_rate_ci_high,predicted_ci_low,predicted_ci_high,gap_ci_low,gap_ci_high
"[1.00, 1.50)",2507,2507,1868,-64.94999999999999,1.3148982848025528,1.33,0.76569418166957,0.7242615144150857,-0.025907459114479454,0.7451136816912645,0.02085216727617878,False,-0.04733873093745165,-0.0034040483595889396,0.7295594047925812,0.7622306689779719,0.7218396944227183,0.7266027359897513,0.004767729532986128,0.037627176295289444
"[1.50, 2.00)",4558,4558,2572,-152.08,1.7262329969284773,1.72,0.5831422379179096,0.5522568688023086,-0.033365511189118034,0.564282580078982,0.012025711276673401,False,-0.058556657318086965,-0.008087960919315792,0.5495961919984517,0.5785907665098147,0.5510056679975887,0.5536469284555977,-0.002623366190956794,0.026335754468714473
"[2.00, 3.00)",7370,5397,2896,-420.57,2.4378575305291723,2.4,0.41592372305959596,0.3941133290304998,-0.057065128900949794,0.39294436906377206,-0.0011689599667277228,False,-0.07948742523498119,-0.03394675207005601,0.38328945574016976,0.40260250133410247,0.3928993515212847,0.39524750234999934,-0.010668770424776009,0.008653252798067971
"[3.00, 5.00)",16603,10556,4314,-957.49,3.692088779136301,3.6,0.27527467489626095,0.26078362512028674,-0.0576696982473047,0.2598325603806541,-0.0009510647396326344,False,-0.08062854557776482,-0.035755136319377455,0.253794761476557,0.2657570282083375,0.2602175274078727,0.2613190592284335,-0.006903425037865904,0.004975029865613336
"[5.00, 10.00)",5339,4384,738,-794.3,6.414740588125118,6.0,0.16152243969836907,0.1529119358380564,-0.14877317849784602,0.13822813260910283,-0.014683803228953574,False,-0.20691740922978827,-0.09405345460632472,0.12904378928600974,0.14663791640459353,0.15229761551433,0.15353985542680026,-0.023845532818685223,-0.006260272497479814
"[10.00, inf)",997,903,70,-77.0,13.552156469408224,12.0,0.07870418833725329,0.0745105186501197,-0.07723169508525576,0.07021063189568706,-0.004299886754432644,False,-0.2858444190001995,0.16395791400636675,0.054508940224158156,0.08657683292993044,0.07356441867103149,0.07543028408328661,-0.020108951755235516,0.012311891479460779
