selection_type,odds_band,n_bets,n_matches,wins,total_profit,mean_odds,median_odds,mean_raw_implied_probability,mean_predicted_probability,roi,win_rate,calibration_gap,sparse,roi_ci_low,roi_ci_high,win_rate_ci_low,win_rate_ci_high,predicted_ci_low,predicted_ci_high,gap_ci_low,gap_ci_high
H,"[1.00, 1.50)",1909,1909,1433,-48.16,1.3058040859088529,1.33,0.7713168784125204,0.7295562471152216,-0.025227867993713984,0.750654793085385,0.021098545970163363,False,-0.05061600725827865,0.0017680383385135661,0.7309311496139853,0.7709096162736938,0.726697309135513,0.7324293907283744,0.0019120846233662975,0.041101580463686616
H,"[1.50, 2.00)",3005,3005,1669,-151.05,1.7239134775374374,1.72,0.584027455944641,0.5531565939383728,-0.05026622296173045,0.5554076539101498,0.002251059971776992,False,-0.08034288184125199,-0.020788241732496725,0.5379336357422482,0.5727160479120119,0.5515414840111174,0.5548057666782464,-0.01511825804715175,0.0190843697235995
H,"[2.00, 3.00)",3929,3929,1538,-305.29,2.392107406464749,2.37,0.42343722888045227,0.4012752184063645,-0.07770170526851616,0.3914482056502927,-0.009827012756071785,False,-0.11347956258189025,-0.04268592300727242,0.37640949935815143,0.40609029762036364,0.39982881501931167,0.402720390983524,-0.024889105719647885,0.004656348984665584
H,"[3.00, 5.00)",2422,2422,584,-309.99,3.6812427745664738,3.6,0.277078613032107,0.2625354488870985,-0.12798926507018993,0.24112303881090008,-0.02141241007619843,False,-0.19202793902545495,-0.06540234132983513,0.22392757915135542,0.2585301632019632,0.261190365137458,0.26400684152898246,-0.03873465160253569,-0.004459451810363395
H,"[5.00, 10.00)",1048,1048,133,-227.0,6.423425572519084,6.0,0.16119098504071347,0.1526103520091046,-0.21660305343511452,0.1269083969465649,-0.025701955062539722,False,-0.33886883726451705,-0.07993579083518114,0.10748364967654794,0.14858896542317396,0.15102768420946297,0.15417249897709367,-0.045234158740824454,-0.0035882600191963106
H,"[10.00, inf)",145,145,10,-11.0,12.255172413793103,12.0,0.08427384870637315,0.07975828819932505,-0.07586206896551724,0.06896551724137931,-0.010792770957945744,True,-0.615625,0.5486555232558138,0.028985507246376812,0.115109003706126,0.07766049171748529,0.081813557059575,-0.05073417012782074,0.03511997530384513
D,"[1.00, 1.50)",0,0,0,0.0,,,,,,,,True,,,,,,,,
D,"[1.50, 2.00)",0,0,0,0.0,,,,,,,,True,,,,,,,,
D,"[2.00, 3.00)",332,332,112,-11.990000000000006,2.857771084337349,2.9,0.35026381118609323,0.33107290559001584,-0.03611445783132532,0.3373493975903614,0.006276492000345579,False,-0.1823137160295474,0.10781760974335132,0.2857045807453416,0.3878877005347593,0.32995235365451026,0.3322868913476999,-0.045260630693901946,0.05679212240663886
D,"[3.00, 5.00)",10289,10289,2758,-331.53,3.6707036641072994,3.6,0.27621923849328206,0.26166180793697247,-0.032221790261444255,0.26805326076392266,0.006391452826950195,False,-0.06312174241792558,-0.0015619257128066649,0.2595294618178299,0.276585820748173,0.2610779692839939,0.2622569024006398,-0.002045752432481719,0.014849245319055725
