div,odds_band,n_bets,n_matches,wins,total_profit,mean_odds,median_odds,mean_raw_implied_probability,mean_predicted_probability,roi,win_rate,calibration_gap,sparse,roi_ci_low,roi_ci_high,win_rate_ci_low,win_rate_ci_high,predicted_ci_low,predicted_ci_high,gap_ci_low,gap_ci_high
D1,"[1.00, 1.50)",459,459,341,-22.11,1.2911764705882351,1.3,0.780943799004703,0.7386848226162251,-0.048169934640522875,0.7429193899782135,0.004234567361988351,False,-0.1016685483870968,0.0024323511147909304,0.7030891600626504,0.781055856270874,0.7323744561956445,0.7449280362427918,-0.03597298563861018,0.04290962146620945
D1,"[1.50, 2.00)",773,773,422,-53.660000000000004,1.7276843467011642,1.73,0.5829068780822252,0.5519769522692421,-0.06941785252263907,0.5459249676584734,-0.006051984610768724,False,-0.1270459130177657,-0.009213644484798842,0.5112844819933895,0.5808550173117243,0.5487665680941382,0.5551477104345515,-0.04007552531286059,0.02852633749331594
D1,"[2.00, 3.00)",1305,910,502,-105.43,2.4239463601532565,2.4,0.4180484876291349,0.39593485461227584,-0.08078927203065135,0.3846743295019157,-0.011260525110360131,False,-0.13099073701075753,-0.029269206682300437,0.3631340345808316,0.4072413052812366,0.3934391417633812,0.3984520187405863,-0.03291771872378011,0.011164147835670815
D1,"[3.00, 5.00)",2793,1742,745,-13.66,3.7759255281059794,3.75,0.2687350500164347,0.25445905740383007,-0.004890798424633011,0.26673827425707125,0.012279216853241182,False,-0.05982994820757587,0.04860185430747876,0.25196850393700787,0.2806522635703182,0.2530541242085487,0.2557708875334315,-0.002250185613645604,0.026081902897452228
D1,"[5.00, 10.00)",871,660,113,-167.25,6.445177956371986,6.0,0.1607393111401011,0.15214462024497083,-0.1920206659012629,0.12973593570608496,-0.022408684538885865,False,-0.32832441322589706,-0.058059111066317344,0.10866628984381502,0.15057505070993915,0.150529206307395,0.15386365000233332,-0.0434502850112883,-0.0014715416591042601
D1,"[10.00, inf)",225,188,19,40.0,14.035555555555556,13.0,0.07670317093056549,0.07265949103885078,0.17777777777777778,0.08444444444444445,0.01178495340559367,False,-0.32566823899371067,0.7183615913490419,0.049773755656108594,0.12121212121212122,0.07079277982698125,0.07459516677250654,-0.02369980788104469,0.04824751136168795
E0,"[1.00, 1.50)",613,613,449,-32.1,1.3047308319738988,1.33,0.7720027150080969,0.7311588820830746,-0.05236541598694943,0.732463295269168,0.0013044131860934227,False,-0.09811889640183553,-0.006956479451284642,0.6976312315466727,0.7675221008840354,0.7260368449309488,0.736474937718263,-0.032467270625659246,0.03523480560935227
E0,"[1.50, 2.00)",996,996,567,-27.14,1.7229718875502007,1.72,0.584253648919415,0.5538095237223787,-0.027248995983935743,0.5692771084337349,0.01546758471135623,False,-0.0808422731787083,0.023349160451999466,0.538298428521587,0.5989810635792778,0.5509547656519229,0.5566321377134316,-0.0156388288553406,0.044655979554417614
E0,"[2.00, 3.00)",1420,1051,555,-93.92,2.421288732394366,2.4,0.418507356003702,0.3970483196949254,-0.06614084507042253,0.3908450704225352,-0.006203249272390188,False,-0.11516775203502044,-0.017757715082901852,0.369475138121547,0.4116050890644724,0.39449681358548466,0.3996200687326223,-0.027156908543206595,0.014663004341345575
E0,"[3.00, 5.00)",3447,2181,890,-172.14,3.73503046127067,3.6,0.27182665515226806,0.2577903107534547,-0.0499390774586597,0.2581955323469684,0.0004052215935136938,False,-0.09420894095115952,-0.002534523031599659,0.24605174156192403,0.2707378129895737,0.25665504371489267,0.259039004525107,-0.011717663084344625,0.012870140399097837
E0,"[5.00, 10.00)",1236,995,181,-104.0,6.442556634304207,6.0,0.16084364334355405,0.15240505724023493,-0.08414239482200647,0.1464401294498382,-0.005964927790396729,False,-0.20470502593320744,0.03806575196008541,0.12795882605561434,0.1650298384543469,0.15117414200549115,0.15370556239368624,-0.02437418950972793,0.012697072680204513
E0,"[10.00, inf)",268,238,18,-36.0,13.988805970149254,13.0,0.07645802266642295,0.07246587228620655,-0.13432835820895522,0.06716417910447761,-0.005301693181728934,False,-0.5042772703290905,0.28891922639362894,0.039471094073767095,0.099644128113879,0.07074479420239484,0.07429110300204181,-0.032965093994177554,0.027192373231692664
F1,"[1.00, 1.50)",414,414,307,-10.299999999999999,1.3231884057971013,1.33,0.7607827563615993,0.7189118907521966,-0.024879227053140093,0.7415458937198067,0.02263400296761009,False,-0.08093567909422526,0.02967411569913539,0.6989129531094114,0.7818699822448664,0.7128835324502241,0.724326093214601,-0.019175769544948897,0.06278337987618576
